y,x1,x2,x3,x4,x5,x6,x8,x9,x10,x11,x13,x7_Beach,x7_Casahouse,x7_Horses,x7_Mojodojo,x7_Sublime
0,99.12807,-0.23826999999999998,-99.1835,-1.25286,199.18948,-138.43341,-1.35039,0.8418700000000001,9.904589999999999,1.7186099999999997,446.0486,1,0,0,0,0
1,98.89017,-0.75339,-101.87005,-1.28567,198.95956,-143.84561000000002,0.11728,-0.20714000000000002,9.75938,-1.19782,443.51583,0,0,1,0,0
0,99.8212,0.8449,-99.44376,-1.28067,199.89075,-146.86712,-0.05036,-0.24720999999999999,13.83337,3.54015,449.38412999999997,1,0,0,0,0
2,99.30343,-0.63459,-99.05639000000001,-1.28568,199.37161,-148.10246999999998,-0.08433,0.8327100000000001,9.70324,3.0386900000000003,446.98894,1,0,0,0,0
1,101.20987,0.5718300000000001,-97.35634,-1.2479799999999999,201.26858000000001,-141.67514,1.46646,0.32269000000000003,10.75488,-3.12135,457.3712,0,0,0,1,0
0,100.2291,-1.33565,-97.53687,-1.23641,200.28644,-138.53506000000002,1.04797,0.7655,10.65163,3.92709,452.37707,0,1,0,0,0
1,100.37361,-0.28776,-103.3055,-1.25728,200.43499,-139.72499,-0.22357,0.56814,10.015130000000001,-2.0546,450.2153,0,1,0,0,0
1,100.18316,1.14394,-104.24701,-1.24643,200.24158,-138.55024,2.4056900000000003,-4.73502,11.93431,-2.47931,448.79232,0,1,0,0,0
0,100.25104,0.63972,-102.36251,-1.23918,200.30856,-139.5061,0.8774,1.6945599999999998,12.3014,4.08384,450.07392000000004,0,1,0,0,0
0,101.19466,-0.35241999999999996,-98.98566,-1.2756100000000001,201.26238,-145.47385,0.22931999999999997,0.46138,11.68416,-2.21501,456.48048,0,0,0,1,0
1,100.18913,0.44373,-99.74327,-1.25152,200.24909,-141.87363,-0.65033,0.26994,11.971810000000001,-5.48531,451.07402,0,1,0,0,0
0,100.83881,-0.0335,-95.81688,-1.2953700000000001,200.91099,-151.33479,0.41683000000000003,-1.73785,10.47959,1.1281,456.2856,0,1,0,0,0
2,100.06154000000001,-0.41585,-98.583,-1.26996,200.12748,-143.84385,0.61331,-1.09279,10.913969999999999,-0.8169,451.01619000000005,0,1,0,0,0
1,101.39324,0.37936,-95.60307,-1.2659,201.45691000000002,-143.17614,-0.5848899999999999,1.55423,9.822239999999999,-0.95815,459.16468,0,0,0,1,0
1,100.65604,0.24799000000000002,-100.66272,-1.26091,200.71851,-143.24833,-1.6237,1.59762,10.32973,-0.55797,452.94885,0,1,0,0,0
2,100.14679,0.43982,-96.97175,-1.269,200.21197,-144.56052,-2.9376700000000002,-1.32122,11.64006,-1.08079,452.24809000000005,0,1,0,0,0
1,98.00029,-0.03296,-98.25501,-1.28772,198.07007,-144.52736000000002,0.30732,-1.3034,10.825330000000001,-4.12306,440.87392,0,0,1,0,0
1,99.90545,0.75867,-96.65773,-1.28633,199.97486999999998,-148.17027,1.6651900000000002,-2.49757,11.59168,-3.9745800000000004,451.19839,1,0,0,0,0
1,100.56408,0.05909,-102.02694,-1.2652299999999999,200.62792,-145.45913000000002,0.41407,0.29286,11.03243,-2.01592,451.80692999999997,0,1,0,0,0
2,99.06855999999999,0.06423999999999999,-92.96124,-1.27177,199.13398,-141.17577,0.33501,-0.95176,11.7811,-0.16644,448.86217999999997,1,0,0,0,0
2,100.87956,-0.60977,-104.16565,-1.2680200000000001,200.9448,-142.69363,0.60768,2.57879,11.40639,-0.67298,452.31499,0,1,0,0,0
1,99.26341,-0.27352,-101.84825,-1.23527,199.31902,-136.02553,2.43647,-1.0690899999999999,10.272160000000001,-4.09304,445.3929,1,0,0,0,0
0,99.1363,0.55842,-97.51393,-1.23842,199.19456,-136.17022,0.27471999999999996,1.3333899999999999,10.970289999999999,4.5505,446.92450999999994,1,0,0,0,0
0,99.88776999999999,-0.39333,-105.53402,-1.25011,199.94917,-139.72251,0.48017,-0.27845,11.11945,2.20991,446.67185,1,0,0,0,0
2,99.56638000000001,0.09491000000000001,-99.6529,-1.29044,199.63697,-146.60449,0.78904,0.43065,11.97583,-1.44462,448.00543,1,0,0,0,0
2,99.531,0.23715999999999998,-97.1771,-1.26849,199.59623,-143.95566000000002,0.27518000000000004,1.3758700000000001,7.95373,3.12138,449.06647000000004,1,0,0,0,0
1,99.18596,1.25104,-99.74367,-1.25417,199.2467,-140.50186000000002,1.35325,0.989,11.58902,-1.5671700000000002,446.05796,1,0,0,0,0
1,100.39689,-1.34486,-100.01963,-1.28019,200.46458,-148.29539,1.64773,-2.34826,9.86777,-1.48417,451.97464,0,1,0,0,0
1,99.91651,-0.04734,-99.25076999999999,-1.23635,199.97266000000002,-139.08436,0.00257,0.7394,11.73042,-0.75124,449.95717,1,0,0,0,0
2,99.43290999999999,-0.00787,-101.99154,-1.25689,199.49548000000001,-137.90966,-2.2347099999999998,-0.46916,9.89223,-0.19602,446.16879000000006,1,0,0,0,0
1,100.23349,-0.041139999999999996,-98.75021,-1.25642,200.29474,-141.84958999999998,-0.45771999999999996,-2.00052,7.92852,-3.5300800000000003,451.79234,0,1,0,0,0
1,99.68164,0.35924,-105.49468,-1.25244,199.74206,-139.93476,-1.9366,0.40464,11.79433,-2.4498900000000003,445.66085999999996,1,0,0,0,0
0,98.74318000000001,-0.5556800000000001,-102.36646,-1.25157,198.80427,-136.3241,1.0564,0.69223,11.45399,0.57622,442.53267999999997,0,0,1,0,0
